latitude,longitude,stars,review_stars,text,sentiment,review_count,average_stars,yelping_since,fans,funnyVotes,usefulVotes,coolVotes
36.0839363,-115.1194225,4,4.5,"It's not often that you step into a store and feel like you've been transported to another realm.  That's what you get at this Psychic Eye Book Shop location though.  The smells and the sounds penetrate your senses as your eyes dart from one unique lil object to the next.  It's a great place to go for a different sort of gift, psychic readings or just to browse.  

You can get books, candles, jewelry, incense, gifts from other countries, house decor, meditation tools, and more.

My friends and I like it but only make it in every couple of years, it seems.  Btw.. this is a new location!  Check the address if you're gonna stop in. :)

Might see ya there!",0.260606060606,1025,3.86,2007-03,53,0,1,1
36.0839363,-115.1194225,4,4.5,"I know that sometimes this subject gives people the creeps, but this store has a calming effect to it. Instead of feeling some witchy aura, there is a sense of spirituality. I like how there is a good mix of multiple beliefs that spans across Paganism to Buddhism. 

If you are searching for some balance and relaxation the Psychic Eye has many tools to calm down the nerves. Their extensive collection of aromas, incense, wind chimes, and other tools will aid you in finding peace of mind.",0.131597222222,1014,3.88,2011-01,42,0,5,1
36.0839363,-115.1194225,5,4.5,"I went in here looking for a gift for a friend, a wind chime, and I found several very unique ones as wells as some ""normal"" ones (on sale whoo whoo) along with a handful of amazingly beautiful (and HUGE) ones. 

The employees were more than helpful with looking at each one, listening to them, while trying to find one (my friend wanted one JUST like mine) that would be a best buy and sound. I found a few that I want to buy (save up for as the one I want is HUGE and cost over $200, but worth it as it is so big and well made), but nothing for my friend, so they helped me figure out where to go- and I went where they recommended and found it! 

There is so much here- I found a Buddha head that was very tempting, some angels for my friend, as well as Hinduism stuff for my sister. 

Prices range from cheap to expensive- all depends. 

Awesome employees, sooo much stuff, good quality- can't wait to go back!",0.324375,51,3.31,2010-05,0,0,0,1
36.0839363,-115.1194225,3,4.5,"Unique gifts if you have any friends who are into the mystic, spiritual, or holistic practices. Great assortment of jewelry; a little on the pricey side, but their jewelry isn't cheaply made. A lot of the expensive necklaces are made out of sterling silver or heavy silver grade. Embraces different cultures throughout the times, from the Celtics, Native Americans, Hindus, and Nordics. There's also an emphasis on crystal healing and an extensive library in the back of the store that has plenty books on different subject matters relating to the mystic. They have a nice little discount rack when you first walk in

A little more assertiveness in helping a customer's needs can be improved by the employee's, though. There was one lady who was kind enough to come over to me when I was standing by the jewelry window to question if I needed any help or had any questions. The rest of the staff were behind the cashier's counter, to which they were loudly gossiping about another employee. Sounded a little unprofessional and inappropriate when the entire store is quiet and you can hear employees of the same place gossiping! There was no acknowledgement of my presence made from that group of said employees, everyone except the lady who helped me.

If you ever want to get a unique gift for a loved one or a friend who you know is into the spiritual lifestyle, this is the perfect place to come.",0.127011494253,173,3.67,2010-12,15,0,3,1
36.0839363,-115.1194225,5,4.5,"I was a skeptic going in to have my first reading done, but that sure changed. I had a reading with Angel and she was amazing. She was very insightful with my tarot card reading. First we started with a celtic cross reading. Then I got to ask Angel two different questions and she laid the cards out and provided me some great information. Lastly, I got to pick one card and that would be my final message. It was the Experience card. How fitting, because this was definitely an experience I will never forget.",0.258333333333,11,3.83,2013-03,0,0,1,1
36.0839363,-115.1194225,5,4.5,"Get a reading with Deanna Moondove. She is amazing. I have been seeing her since she was at the Charleston location (about 9 years) and everything she tells about comes to fruition eventually- even if it doesn't make since at the time, it'll come. I wouldn't see anyone else. She is a must!",0.75,4,4.0,2013-12,0,0,0,0
36.124423,-115.146372,5,4.5,"Today was a great day for social media dorks like me because The Gap partnered with Facebook using their new Places Deals feature. If you used the iPhone app or FB touch site you could unlock a special coupon when you check-in at the store.  To kick-off the program the deal had to be great... and it was. The first 10,000 customers got a free pair of jeans.

So what that I'm on vacation?! I sure as hell ran right over to Caesar's Palace to score this deal.  When I got there they only had 3 coupons left, so I was very happy.

That was easy part. The hard part was trying to decide what to get.  It's been years since I've bought Gap jeans.  According to them they've come a long way and are more stylish than before.  I'm not so sure that much has changed except adding a ""wash"" to make the denim look like it hadn't been washed.

Anyway, I returned later that afternoon and someone came to help me after he saw that I was staring blankly at the wall of jeans.  He gave a brief explanation of a few things and whisked me back to the dressing room with a few options to try. In addition to a few boot cut and standard men's jeans, he also suggested some women's styles.  I have zero interest in wearing women's clothes, but I tried them on anyway.  Believe it or not, he was right about them looking pretty good. Unfortunately the pockets are really shallow and I just didn't see myself wearing them very much.

In the end I left with a dark blue pair of 1969 Boot jeans and a smile on my face.  The coupon for free jeans was awesome and the staff here was really nice.",0.21666504329,1057,3.66,2007-06,132,2,1,5
36.124423,-115.146372,5,4.5,"When I walked in my plan was not to buy anything! I wanted to save my shopping money for San Diego. I did really well in the kids department where I was looking with my friend who has kids. There were a lot of take an additional 50% sales there so my friend scored some cute winter gear for her kids. 

Then we went to look down stairs in the ladies section. My friend saw a good deal on basic tees for $5.00 . She kept telling me to get some but I didn't want to stand in a big line for it because it was not worth while to me. Then something caught my eye that made me want to stand in a long line ...sparkly flats! I tried to ignore them at first but I kept passing by thinking what if I don't get them today and then I never find them again! They only had a few left so I luckily found my size and purchased them for only $10.00 and what the heck I also got a plain gray long sleeved tee for $5.00. I love a great deal!",0.150749559083,559,3.99,2010-05,25,0,2,0
36.124423,-115.146372,5,4.5,"I like the Gap. And I know some people have an aversion to Gap, but I love their jeans. They're not severely overpriced, I like the way they fit and they last. 

This Gap is huge. I like that they have a large Gap body section with lots of active wear, an under garments. Shoes, belts, purses, jewelry, whatever you need to complete an outfit! The only thing about this gap is it's kinda far, it's deep into the forum shops near Nike town and cheesecake factory.",0.155086580087,487,3.45,2011-06,35,0,0,0
36.124423,-115.146372,4,4.5,"Third GAP trip, three different locations, in three days. I love finding deals and just walking around a mall. The high school kid in me still enjoys casually moving from store to store, but now I have the income to buy whatever I want. I came here a few weeks before and found some nice shirts, but this visit was less successful. I left empty handed. If I added up all the times I have visited this store and what I have bought, the consensus would show a detriment to my wallet and a progressive decrease in closet space. I am still leery about whether this is a good or bad thing. All I know is that this store is huge and has a quick turn around rate of product. Each time I come in, it has something different.",0.111041666667,1014,3.88,2011-01,42,0,0,0
